"filename", "language", "TypeScript JSX", "TypeScript", "JSON", "CSS", "comment", "blank", "total"
"/Users/mohammadalhallaq/source/mohaha/upgrade-syria/src/layouts/AppLayout/ui/index.tsx", "TypeScript JSX", 16, 0, 0, 0, 0, 2, 18
"/Users/mohammadalhallaq/source/mohaha/upgrade-syria/src/layouts/DefaultLayout/DefaultLayout.tsx", "TypeScript JSX", 11, 0, 0, 0, 0, 1, 12
"/Users/mohammadalhallaq/source/mohaha/upgrade-syria/src/main.tsx", "TypeScript JSX", 21, 0, 0, 0, 6, 1, 28
"/Users/mohammadalhallaq/source/mohaha/upgrade-syria/src/modules/main/AddPostPage/AddPostPage.tsx", "TypeScript JSX", 77, 0, 0, 0, 0, 7, 84
"/Users/mohammadalhallaq/source/mohaha/upgrade-syria/src/modules/main/BrowsePage/BrowsePage.tsx", "TypeScript JSX", 52, 0, 0, 0, 0, 6, 58
"/Users/mohammadalhallaq/source/mohaha/upgrade-syria/src/modules/main/Index/Index.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 4, 21
"/Users/mohammadalhallaq/source/mohaha/upgrade-syria/src/modules/main/MapPage/MapPage.tsx", "TypeScript JSX", 15, 0, 0, 0, 0, 4, 19
"/Users/mohammadalhallaq/source/mohaha/upgrade-syria/src/modules/main/TestPage/TestPage.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 3, 13
"/Users/mohammadalhallaq/source/mohaha/upgrade-syria/src/modules/main/routes.tsx", "TypeScript JSX", 28, 0, 0, 0, 0, 2, 30
"/Users/mohammadalhallaq/source/mohaha/upgrade-syria/src/server/post/types/post.type.ts", "TypeScript", 0, 22, 0, 0, 0, 4, 26
"/Users/mohammadalhallaq/source/mohaha/upgrade-syria/src/server/types/issueType.type.ts", "TypeScript", 0, 1, 0, 0, 0, 1, 2
"/Users/mohammadalhallaq/source/mohaha/upgrade-syria/src/server/user/types/user.type.ts", "TypeScript", 0, 6, 0, 0, 0, 1, 7
"/Users/mohammadalhallaq/source/mohaha/upgrade-syria/src/services/httpService.tsx", "TypeScript JSX", 155, 0, 0, 0, 3, 10, 168
"/Users/mohammadalhallaq/source/mohaha/upgrade-syria/src/services/tokenService.ts", "TypeScript", 0, 46, 0, 0, 0, 3, 49
"/Users/mohammadalhallaq/source/mohaha/upgrade-syria/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 1, 1, 2
"Total", "-", 663, 768, 2, 8, 60, 170, 1671
